matchID,matchNo,match,currentInning,inningID,over,runningOver,runs,batsmanRuns,batsmanBall,bowlerRuns,shortText,batsmanPlayerID,batsmanName,bowlerPlayerID,bowlerName,isBoundary,isWide,isNoBall,isLegBye,isBye,isWicket,isBowlerWicket,wicketText,wktBatsmanName,wktBowlerName,wktBatsmanRuns,wktbatsmanBalls,commentary,lower_comment,review_outcome
1415705,5th Match,Afghanistan vs Uganda,Afghanistan,1,17.3,18,1,1,1,1,"Kyewuta to Gulbadin,  1 run",352048,Gulbadin Naib,1107651,Cosmas Kyewuta,False,False,False,False,False,False,,,,,,,borderline waist-high full toss on off. Naib swings it away towards deep mid wicket. Looks at the umpire for the No ball but gets no favours. That looked touch-and-go,borderline waist-high full toss on off. naib swings it away towards deep mid wicket. looks at the umpire for the no ball but gets no favours. that looked touch-and-go,Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,0.3,1,0,0,1,0,"Fazalhaq Farooqi to Mukasa, OUT",233528,Roger Mukasa,974175,Fazalhaq Farooqi,False,False,False,False,False,True,1.0,Roger Mukasa lbw b Fazalhaq Farooqi 0 (1b 0x4 0x6 1m) SR: 0,Roger Mukasa,b Fazalhaq Farooqi,0.0,1.0,"huge appeal, and given! Farooqi has two in two! Devilish in-swinging delivery, bowled very full on middle and leg. Mukasa is all at sea and plays down the wrong line completely. The ball kisses the back pad, and the umpire has no hesitation in raising his finger. Mukasa does not bother with the review, and Uganda are two down!","huge appeal, and given! farooqi has two in two! devilish in-swinging delivery, bowled very full on middle and leg. mukasa is all at sea and plays down the wrong line completely. the ball kisses the back pad, and the umpire has no hesitation in raising his finger. mukasa does not bother with the review, and uganda are two down!",Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,4.1,5,1,0,0,1,"Naveen-ul-Haq to Riazat Ali Shah, 1 wide",1129565,Riazat Ali Shah,793447,Naveen-ul-Haq,False,True,False,False,False,False,,,,,,,"wayward delivery, bowled a mile outside off. Called a wide by the umpire, unsurprisingly","wayward delivery, bowled a mile outside off. called a wide by the umpire, unsurprisingly",Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,5.3,6,0,0,1,0,"Azmatullah to Riazat Ali Shah, no run",1129565,Riazat Ali Shah,819429,Azmatullah Omarzai,False,False,False,False,False,False,,,,,,,"length in the channel just outside off. Nips away off the seam and Riazat, trying to drive on the up, seems to be beaten. But hang on. Omarzai is very interested in the caught-behind, as is Ibrahim, and they have talked Rashid into a review. Flat line on UltraEdge when the ball is next to the bat, and Afghanistan have burnt a review!","length in the channel just outside off. nips away off the seam and riazat, trying to drive on the up, seems to be beaten. but hang on. omarzai is very interested in the caught-behind, as is ibrahim, and they have talked rashid into a review. flat line on ultraedge when the ball is next to the bat, and afghanistan have burnt a review!",Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,12.6,13,0,0,1,0,"Fazalhaq Farooqi to Obuya, OUT",1380565,Robinson Obuya,974175,Fazalhaq Farooqi,False,False,False,False,False,True,1.0,Robinson Obuya c †Rahmanullah Gurbaz b Fazalhaq Farooqi 14 (25b 0x4 1x6 42m) SR: 56,Robinson Obuya,Fazalhaq Farooqi,14.0,25.0,"another nick, and another wicket for Farooqi! Shortish outside off. Skids off the surface and Obuya, who dangles his bat, gets a healthy edge. Gurbaz claimed the catch, having dived forward but the umpires just want to be sure if this has carried. No doubt about the edge. And no doubt on the fairness of the catch either. Gloves well under the ball, and Farooqi has his first five-wicket haul in T20I cricket!","another nick, and another wicket for farooqi! shortish outside off. skids off the surface and obuya, who dangles his bat, gets a healthy edge. gurbaz claimed the catch, having dived forward but the umpires just want to be sure if this has carried. no doubt about the edge. and no doubt on the fairness of the catch either. gloves well under the ball, and farooqi has his first five-wicket haul in t20i cricket!",Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,13.5,14,0,0,1,0,"Rashid Khan to Bilal Hassun, no run",1151338,Bilal Hassan,793463,Rashid Khan,False,False,False,False,False,False,,,,,,,full just outside off. Bilal continues swinging like a rusty gate and gets pinned on the back leg again. Impact seemed to be outside the line but Afghanistan have reviewed it nevertheless. The initial assessment was indeed right. Impact just outside the line and Bilal survives!,full just outside off. bilal continues swinging like a rusty gate and gets pinned on the back leg again. impact seemed to be outside the line but afghanistan have reviewed it nevertheless. the initial assessment was indeed right. impact just outside the line and bilal survives!,Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,13.6,14,0,0,1,0,"Rashid Khan to Bilal Hassun, no run",1151338,Bilal Hassan,793463,Rashid Khan,False,False,False,False,False,False,,,,,,,"this is fuller, just outside off. Bilal fails to make contact with another wild slog. The ball clips the back leg and Afghanistan appeal. Impact again seemed an issue and the umpire was right to turn down the appeal","this is fuller, just outside off. bilal fails to make contact with another wild slog. the ball clips the back leg and afghanistan appeal. impact again seemed an issue and the umpire was right to turn down the appeal",Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,15.1,16,0,0,1,0,"Rashid Khan to Bilal Hassun, no run",1151338,Bilal Hassan,793463,Rashid Khan,False,False,False,False,False,False,,,,,,,"big appeal, and given this time! Bilal has reviewed it immediately, though! Fizzed through on a length on middle and off. This is the leg-spinner and it turns away just enough to beat the bat and smack Bilal on the back leg. The swiftness of the review, however, suggests there might have been bat involved. That is indeed the case. A big outside edge, and Bilal stays!","big appeal, and given this time! bilal has reviewed it immediately, though! fizzed through on a length on middle and off. this is the leg-spinner and it turns away just enough to beat the bat and smack bilal on the back leg. the swiftness of the review, however, suggests there might have been bat involved. that is indeed the case. a big outside edge, and bilal stays!",Unclear
1415705,5th Match,Afghanistan vs Uganda,Uganda,2,15.5,16,0,0,1,0,"Rashid Khan to Bilal Hassun, OUT",1151338,Bilal Hassan,793463,Rashid Khan,False,False,False,False,False,True,1.0,Bilal Hassan lbw b Rashid Khan 8 (16b 1x4 0x6 18m) SR: 50,Bilal Hassan,b Rashid Khan,8.0,16.0,"that looks plumb! Googly on a length on off. Bilal, having not had enormous success with the conventional, now tries the reverse, rather ambitiously. Makes a complete hash of it and gets thumped on the front pad in front of off stump. Kumar Dharmasena gives it out but we go upstairs for a final ratification. No bat involved, and Ball Tracking has the ball smashing into middle stump, two-thirds of the way up!","that looks plumb! googly on a length on off. bilal, having not had enormous success with the conventional, now tries the reverse, rather ambitiously. makes a complete hash of it and gets thumped on the front pad in front of off stump. kumar dharmasena gives it out but we go upstairs for a final ratification. no bat involved, and ball tracking has the ball smashing into middle stump, two-thirds of the way up!",Unclear
1415706,6th Match,Scotland vs England,Scotland,1,7.3,8,0,0,1,0,"Rashid to Munsey, no run",671805,George Munsey,244497,Adil Rashid,False,False,False,False,False,False,,,,,,,"over the wicket to the left-hander, pitches outside leg and grips, it's the googly, and is there a tickle as Munsey swings into a slog-sweep? England are reviewing The ball lobbed off the knee-roll, up through the arms, and into Buttler's gloves. But doesn't look like bat, or glove. Still, another dot. Pitched way outside leg for the academic lbw appeal","over the wicket to the left-hander, pitches outside leg and grips, it's the googly, and is there a tickle as munsey swings into a slog-sweep? england are reviewing the ball lobbed off the knee-roll, up through the arms, and into buttler's gloves. but doesn't look like bat, or glove. still, another dot. pitched way outside leg for the academic lbw appeal",Unclear
1415707,7th Match,Nepal vs Netherlands,Nepal,1,0.2,1,1,1,1,1,"Kingma to Bhurtel,  1 run",794713,Kushal Bhurtel,416103,Vivian Kingma,False,False,False,False,False,False,,,,,,,Stifle appeal for lbw but he got an inside-edge onto the pad there. Was also struck outside the line of off stump. Fuller with a hint of shape away from the batter. He gets across and ticks it to the on-side. Nepal are away to huge roars from the crowd,stifle appeal for lbw but he got an inside-edge onto the pad there. was also struck outside the line of off stump. fuller with a hint of shape away from the batter. he gets across and ticks it to the on-side. nepal are away to huge roars from the crowd,Unclear
1415707,7th Match,Nepal vs Netherlands,Nepal,1,3.1,4,0,0,1,0,"van Beek to Bhurtel, OUT",794713,Kushal Bhurtel,440522,Logan van Beek,False,False,False,False,False,True,1.0,Kushal Bhurtel lbw b van Beek 7 (10b 1x4 0x6 14m) SR: 70,Kushal Bhurtel,b van Beek,7.0,10.0,"And he's struck with his first ball! That looks plumb on first view. Will Bhurtel review, though? Nope, he's off. Length ball angling sharply back into Bhurtel, who was eyeing an across the line hack. Misses and is struck bang in front of off pole.","and he's struck with his first ball! that looks plumb on first view. will bhurtel review, though? nope, he's off. length ball angling sharply back into bhurtel, who was eyeing an across the line hack. misses and is struck bang in front of off pole.",Unclear
1415707,7th Match,Nepal vs Netherlands,Nepal,1,3.5,4,0,0,1,0,"van Beek to Paudel, no run",1072488,Rohit Paudel,440522,Logan van Beek,False,False,False,False,False,False,,,,,,,"Huge, huge appeal for lbw. The umpire takes his time and give the decision in favour of the bowler. Paudel reviews immediately, though. Did he gets some bat on that? Oh, he did. Length ball moving into the batter sharply. Paudel gets across looking to works this away, and luckily he gets a thin inside-edge onto the pad that saves him","huge, huge appeal for lbw. the umpire takes his time and give the decision in favour of the bowler. paudel reviews immediately, though. did he gets some bat on that? oh, he did. length ball moving into the batter sharply. paudel gets across looking to works this away, and luckily he gets a thin inside-edge onto the pad that saves him",Unclear
1415707,7th Match,Nepal vs Netherlands,Nepal,1,5.3,6,0,0,1,0,"van Meekeren to Paudel, no run",1072488,Rohit Paudel,348109,Paul van Meekeren,False,False,False,False,False,False,,,,,,,"Good length ball that shapes back into Paudel who gets hit on the thigh pad with the ball going to the keeper. Loud appeal all around, but the umpire stays unmoved","good length ball that shapes back into paudel who gets hit on the thigh pad with the ball going to the keeper. loud appeal all around, but the umpire stays unmoved",Unclear
1415707,7th Match,Nepal vs Netherlands,Nepal,1,14.5,15,1,0,0,1,"de Leede to Gulsan Jha, 1 wide",1253822,Gulsan Jha,1036191,Bas de Leede,False,True,False,False,False,False,,,,,,,"bouncer, over the inside shoulder, but that's a bit too far dow leg says the umpire","bouncer, over the inside shoulder, but that's a bit too far dow leg says the umpire",Unclear
