batsmanName,Death,Middle,Powerplay
Sagar Dhakal,0.0,0.0,0.0
Saim Ayub,0.0,0.0,5.538461538461538
Sam Curran,8.571428571428571,3.0,0.0
Saurabh Netravalkar,0.0,0.0,0.0
Scott Edwards,7.5,6.13479907773386,0.0
Semo Kamea,5.0,0.0,0.0
Sese Bau,0.0,5.6571428571428575,3.083333333333333
Shadab Khan,6.0,4.4363636363636365,2.4
Shadley van Schalkwyk,7.157142857142857,5.3999999999999995,0.0
Shaheen Shah Afridi,9.541666666666666,6.0,0.0
Shai Hope,0.0,11.411764705882351,7.108695652173913
Shakeel Ahmed,7.844444444444444,0.0,0.0
Shakib Al Hasan,3.1999999999999997,5.759890109890111,5.26984126984127
Shayan Jahangir,0.0,2.4,0.0
Sherfane Rutherford,10.1,4.444875776397515,6.0
Shivam Dube,7.776666666666666,5.977736549165121,0.0
Shoaib Khan,0.0,1.5599999999999998,0.0
Shreyas Movva,9.923076923076923,5.633333333333333,0.0
Simon Ssesazi,0.0,0.0,4.625
Sompal Kami,6.0,0.0,0.0
Soumya Sarkar,0.0,2.0,3.6666666666666665
Steven Taylor,0.0,7.199999999999999,4.07781034754719
Sundeep Jora,0.0,1.5,0.0
Suryakumar Yadav,11.781818181818181,8.690194805194805,6.987179487179486
Sybrand Engelbrecht,7.846153846153847,6.894827586206897,4.5
Tanzid Hasan,0.0,6.166666666666667,3.7920733510795626
Tanzim Hasan Sakib,5.466666666666666,2.6999999999999997,0.0
Taskin Ahmed,5.4,1.0,0.0
Teja Nidamanuru,0.0,3.0,0.0
Tim David,11.7125,4.35,0.0
Tim Pringle,0.3,3.0,0.0
Tim Southee,0.0,0.0,0.0
Tony Ura,0.0,0.0,4.85
Towhid Hridoy,10.5,7.118996415770609,5.857142857142857
Travis Head,3.0,7.592672413793103,8.63512627723154
Trent Boult,10.5,2.571428571428571,0.0
Tristan Stubbs,7.066071428571428,7.288139603667553,4.121838161838162
Usman Khan,9.0,5.0,4.5
Vikramjit Singh,0.0,6.428571428571428,4.672058823529412
Virat Kohli,12.428571428571427,5.393103448275862,4.985800438596491
Vivian Kingma,6.0,0.0,0.0
Wanindu Hasaranga,20.0,0.0,0.0
Will Jacks,0.0,6.0,5.142857142857142
Zane Green,7.199999999999999,3.8478260869565215,0.0
Zeeshan Maqsood,0.0,1.6666666666666667,3.6157894736842104
