bowlerName,matches,balls_bowled,runs_conceded,wickets,dot_balls,extras,economy,strike_rate,dot_percent,discipline_ratio,wickets_per_match,economy_z,strike_rate_z,dot_percent_z,discipline_ratio_z,wickets_per_match_z
Sam Curran,5,73,115,3,25,1,9.452054794520548,24.333333333333332,34.24657534246575,98.63013698630137,0.6,0.5945083596198882,0.20126606930215124,-0.40609003611149996,0.6378032828024945,-0.5294199780302116
Sandeep Lamichhane,2,49,35,3,25,1,4.285714285714286,16.333333333333332,51.02040816326531,97.95918367346938,1.5,-0.9870616722610303,-0.327246491661283,0.9077030584004343,0.4579577301471129,0.7076609665697168
Saurabh Netravalkar,6,113,125,6,52,0,6.6371681415929205,18.833333333333332,46.017699115044245,100.0,1.0,-0.26721191720340376,-0.1620863163602098,0.5158710500799941,1.0049879528072323,0.02039377512531215
Semo Kamea,2,38,39,2,18,2,6.157894736842105,19.0,47.368421052631575,94.73684210526316,1.0,-0.4139317187223648,-0.15107563800680485,0.6216649478233619,-0.40577420036886,0.02039377512531215
Sese Bau,1,6,18,0,1,0,18.0,6.0,16.666666666666664,100.0,0.0,3.2112878669137714,-1.0099085495723854,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Shadab Khan,2,25,38,0,7,1,9.12,25.0,28.000000000000004,96.0,0.0,0.4928565402980873,0.24530878271577083,-0.895346584507744,-0.06719128360659923,-1.354140607763497
Shadley van Schalkwyk,4,66,103,1,14,2,9.363636363636363,66.0,21.21212121212121,96.96969696969697,0.25,0.5674408559750943,2.9539356576533713,-1.427000165008501,0.19273095552402636,-1.0105070120412947
Shaheen Shah Afridi,4,101,105,6,57,5,6.237623762376238,16.833333333333332,56.43564356435643,95.04950495049505,1.5,-0.38952429972996305,-0.2942144566010684,1.331845766338247,-0.32196654770493566,0.7076609665697168
Shakeel Ahmed,3,55,71,0,24,1,7.745454545454546,55.0,43.63636363636363,98.18181818181819,0.0,0.07206741603079503,2.227230886328649,0.32935541343149854,0.5176337544373103,-1.354140607763497
Shakib Al Hasan,6,105,130,3,38,1,7.428571428571429,35.0,36.19047619047619,99.04761904761905,0.5,-0.024939902866804673,0.9059494839200636,-0.253836014158617,0.7497071822325114,-0.6668734163190925
Shivam Dube,1,6,11,0,3,0,11.0,6.0,50.0,100.0,0.0,1.0683802896266332,-1.0099085495723854,0.8277806451509582,1.0049879528072323,-1.354140607763497
Sompal Kami,3,55,34,4,32,1,3.7090909090909094,13.75,58.18181818181818,98.18181818181819,1.3333333333333333,-1.1635831869763342,-0.49791200613905856,1.4686130859331201,0.5176337544373103,0.4785719027549151
Steven Taylor,2,18,36,0,3,0,12.0,18.0,16.666666666666664,100.0,0.0,1.374509943524796,-0.21713970812723413,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Tabraiz Shamsi,5,106,128,11,40,5,7.245283018867924,9.636363636363637,37.735849056603776,95.28301886792453,2.2,-0.0810499202928833,-0.769675567316279,-0.13279628390406445,-0.25937435428455097,1.6698350345918833
Tangeni Lungameni,2,44,57,1,17,2,7.772727272727273,44.0,38.63636363636363,95.45454545454545,0.5,0.08041640659165403,1.500526115003927,-0.062264411490933834,-0.2133975431175766,-0.6668734163190925
Tanzim Hasan Sakib,7,149,149,11,80,5,6.0,13.545454545454545,53.691275167785236,96.64429530201342,1.5714285714285714,-0.46226797986418,-0.5114251113909646,1.1168959521406734,0.10550872762784223,0.8058419939189173
Taskin Ahmed,6,130,137,8,72,2,6.323076923076923,16.25,55.38461538461539,98.46153846153847,1.3333333333333333,-0.36336455322015826,-0.3327518308379854,1.249525071990501,0.5926113234172986,0.4785719027549151
Tim Pringle,4,78,101,5,25,0,7.769230769230769,15.6,32.05128205128205,100.0,1.25,0.07934602318641547,-0.37569347641626444,-0.5780341109808503,1.0049879528072323,0.36402737084751446
Tim Southee,3,74,36,7,49,2,2.918918918918919,10.571428571428571,66.21621621621621,97.29729729729729,2.3333333333333335,-1.4054782648477082,-0.7079013718789945,2.097898996250738,0.28054252279788505,1.8531062856437246
Trent Boult,4,96,59,10,58,0,3.6875,9.6,60.416666666666664,100.0,2.5,-1.1701928045036811,-0.7720778971388401,1.6436552804060254,1.0049879528072323,2.0821953494585257
Vikramjit Singh,1,6,11,0,0,0,11.0,6.0,0.0,100.0,0.0,1.0683802896266332,-1.0099085495723854,-3.0884176040733653,1.0049879528072323,-1.354140607763497
Vivian Kingma,4,85,78,4,46,7,5.5058823529411764,21.25,54.11764705882353,91.76470588235294,1.0,-0.6135320441432721,-0.0024314802358389584,1.150291089204726,-1.202439886868303,0.02039377512531215
Wanindu Hasaranga,3,68,79,7,32,0,6.970588235294117,9.714285714285714,47.05882352941176,100.0,2.3333333333333335,-0.16514213931596353,-0.7645277176965053,0.5974160422554095,1.0049879528072323,1.8531062856437246
Will Jacks,1,6,22,0,1,0,22.0,6.0,16.666666666666664,100.0,0.0,4.435806482506422,-1.0099085495723854,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Zeeshan Maqsood,3,30,46,0,8,0,9.2,30.0,26.666666666666668,100.0,0.0,0.5173469126099403,0.5756291333179172,-0.9997785378203928,1.0049879528072323,-1.354140607763497
