bowlerName,matches,balls_bowled,runs_conceded,wickets,dot_balls,extras,economy,strike_rate,dot_percent,discipline_ratio,wickets_per_match,economy_z,strike_rate_z,dot_percent_z,discipline_ratio_z,wickets_per_match_z
Angelo Mathews,2,33,36,0,18,3,6.545454545454546,33.0,54.54545454545454,90.9090909090909,0.0,-0.29528816864700025,0.7738213436792051,1.1837986678077144,-1.4317830390423856,-1.354140607763497
Anrich Nortje,9,224,201,16,104,14,5.383928571428571,14.0,46.42857142857143,93.75,1.7777777777777777,-0.6508657130692981,-0.4813959886089512,0.5480521987777923,-0.6702921040893794,1.089476072927719
Aqib Ilyas,3,66,76,2,30,0,6.909090909090909,33.0,45.45454545454545,100.0,0.6666666666666666,-0.18396829450221389,0.7738213436792051,0.47176262249420137,1.0049879528072323,-0.43778435250429093
Arshdeep Singh,8,196,215,18,90,16,6.581632653061225,10.88888888888889,45.91836734693878,91.83673469387755,2.25,-0.2842129770866772,-0.6869286512058423,0.5080909921530545,-1.1831329378332418,1.7385617537363236
Aryan Dutt,2,44,40,3,16,2,5.454545454545455,14.666666666666666,36.36363636363637,95.45454545454545,1.5,-0.6292477910813594,-0.43735327519533174,-0.24027342281931166,-0.2133975431175766,0.7076609665697168
Ashton Agar,2,49,56,1,19,1,6.857142857142858,49.0,38.775510204081634,97.95918367346938,0.5,-0.19987113366575468,1.8308464656060734,-0.05136590059327766,0.4579577301471129,-0.6668734163190925
Assad Vala,3,42,42,3,18,0,6.0,14.0,42.857142857142854,100.0,1.0,-0.46226797986418,-0.4813959886089512,0.26832375240462597,1.0049879528072323,0.02039377512531215
Axar Patel,8,135,173,10,53,3,7.688888888888889,13.5,39.25925925925926,97.77777777777777,1.25,0.05475099116382814,-0.5144280236691658,-0.0134767565342669,0.4093328214662131,0.36402737084751446
Ayaan Khan,2,19,32,1,6,1,10.105263157894738,19.0,31.57894736842105,94.73684210526316,0.5,0.7944748098230144,-0.15107563800680485,-0.6150292361422138,-0.40577420036886,-0.6668734163190925
Azmatullah Omarzai,6,72,104,3,35,5,8.666666666666666,24.0,48.61111111111111,93.05555555555556,0.5,0.3540777638642536,0.17924471259534155,0.7189973604502822,-0.856434332633447,-0.6668734163190925
Barry McCarthy,3,63,57,5,32,1,5.428571428571429,12.6,50.79365079365079,98.41269841269842,1.6666666666666667,-0.63719921066313,-0.5738856867775523,0.8899425221227726,0.5795200018493641,0.9367500303845183
Bas de Leede,4,85,119,3,34,2,8.4,28.333333333333332,40.0,97.6470588235294,0.75,0.2724431894914105,0.46552234978386836,0.04454099530609343,0.3742942843285063,-0.32323982059689016
Ben Shikongo,1,6,19,0,1,0,19.0,6.0,16.666666666666664,100.0,0.0,3.5174175208119345,-1.0099085495723854,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Ben White,2,18,17,2,8,0,5.666666666666667,9.0,44.44444444444444,100.0,1.0,-0.5643111978302341,-0.8117163392110976,0.3926475063482554,1.0049879528072323,0.02039377512531215
Bernard Scholtz,3,61,64,3,21,1,6.2950819672131155,20.333333333333332,34.42622950819672,98.36065573770492,1.0,-0.37193463936963994,-0.06299021117956588,-0.39201880952547064,0.5655702329654978,0.02039377512531215
Bilal Hassan,1,14,34,0,2,2,14.571428571428571,14.0,14.285714285714285,85.71428571428572,0.0,2.161700482120071,-0.4813959886089512,-1.9695038185807017,-2.8242236058135926,-1.354140607763497
Bilal Khan,4,76,109,5,31,3,8.605263157894738,15.2,40.78947368421053,96.05263157894737,1.25,0.3352803289757705,-0.40211910446443616,0.10637570450437231,-0.05308366207483789,0.36402737084751446
Brad Currie,1,24,16,2,12,0,4.0,12.0,50.0,100.0,2.0,-1.0745272876605052,-0.6135241288498098,0.8277806451509582,1.0049879528072323,1.3949281580141213
Brad Wheal,3,72,80,6,29,2,6.666666666666667,12.0,40.27777777777778,97.22222222222223,2.0,-0.25818154393207143,-0.6135241288498098,0.06629765224622862,0.2604190386309621,1.3949281580141213
Brian Masaba,3,74,69,5,28,2,5.594594594594595,14.8,37.83783783783784,97.29729729729729,1.6666666666666667,-0.586374596309381,-0.4285447325126078,-0.12480811817387726,0.28054252279788505,0.9367500303845183
